``init_business``, "Init business layer of the extension", ``None``
``init_blueprints``, "Init Flask blueprints (register them)", ``None``
``init_filters``, "Init Jinja2 filters for views (register them)", ``None``
``init_models``, "Init models (data) layer of the extension", ``array``
``init_post_injector``, "Init other stuff after initiating injector", ``None``
``introduce``, "Introduce yourself (just name) for the list of extensions", ``str``
``view_admin_extensions``, "Return view object of extension for the admin list", ``ExtensionView``
